frequency_rank,word,meaning,transliteration,menukad,part_of_speech,root
5691,לתושבים,to/for residents,letoshavim,,,
5692,לתושבים,to/for the residents,latoshavim,,,
5693,להתפתח,to develop,lehitpate'akh,,,
5694,להשפיע,to effect / to influence,lehashpi'a,,,
5695,לבקר,to visit / to criticize,levaker,,,
5696,לנושא,to a subject/ to the subject of,lenose,,,
5697,לנושא,to the subject,lanose,,,
5698,לנוכח,in light of,lenokhakh,,,
5699,תורם,donates / contributes / donor (m.s.),torem,,,
5700,תשלום,payment,tashlum,,,
5701,תפילה,prayer,tfila,,,
5702,וכמעט,and almost,vekhim'at,,,
5703,והביא,and brought (m.s.),vehevi,,,
5704,שלטו,ruled / controlled (pl.),shaltu,,,
5705,שופט,judge,shofet,,,
5706,פעולתו,his action / his operation,pe'ulato,,,
5707,עמודים,pages / pillars,amudim,,,
5708,עצמאיים,independent (m.pl.),atsma'iyim,,,
5709,אלימות,violence,alimut,,,
5710,חופשית,free (f.s.),khofshit,,,
5711,אריה,lion,arye,,,
5712,המאפשר,that enables / that facilitates (m.s.),hame'afsher,,,
5713,המצודה,the fortress / the castle,hametsuda,,,
5714,הירח,the moon,hayare'akh,,,
5715,התותחים,the cannons,hatotakhim,,,
5716,הופעתו,his appearance,hofa'ato,,,
5717,הודיעו,informed (pl.),hodi'u,,,
5718,השליטה,the control,hashlita,,,
5719,הקרח,the ice,hakerakh,,,
5720,האוצר,the treasure,ha'otsar,,,
5721,החזקה,the strong (f.s.),hakhazaka,,,
5722,החזקה,holding / keeping / maintenance,hakhzaka,,,
5723,האדומים,the red (m.pl.),ha'adumim,,,
5724,הדתית,the religious (f.s.),hadatit,,,
5725,הרבות,the many (f.pl.),harabot,,,
5726,הציב,placed / posted (m.s.),hetsiv,,,
5727,הנודע,the famous / the known,hanoda,,,
5728,הנקודות,the points / the dots,hanekudot,,,
5729,הנבחרים,the elected / the selected (m.pl.),hanivkharim,,,
5730,גלי,waves of,galei,,,
5731,גלי,discover / disclose (f.s. imperative) / in a wave form,gali,,,
5732,במדיניות,[in] a policy,bimdiniyut,,,
5733,במדיניות,[in] the policy,bamediniyut,,,
5734,בענפי,[in] the branches of / in the fields of,be'anfei,,,
5735,טבעו,his nature,tiv'o,,,
5736,טבעו,drowned (pl.),tav'u,,,
5737,צליל,sound,tslil,,,
5738,נובע,stems from / derived from / spouts (m.s.),nove'a,,,
5739,נכונות,correct / ready (f.pl.),nekhonot,,,
5740,נכונות,readiness / willingness,nekhonut,,,
5741,נס,miracle,nes,,,
5742,עבדות,slavery,avdut,,,
5743,המבצרים,the forts,hamivtsarim,,,
5744,התגבורת,the reinforcement / the contingent,hatigboret,,,
5745,הדייל,the steward,hadayal,,,
5746,פרשים,riders (horse) / cavaliers,parashim,,,
5747,אווירית,aero- / aerial (f.s.),avirit,,,
5748,האבירים,the knights,ha'abirim,,,
5749,כבדות,heaviness,kvedut,,,
5750,כבדות,heavy (f.pl.),kvedot,,,
5751,גרילה,guerrilla,gerila,,,
5752,התקווה,the hope / Hatikva (the anthem of Israel),hatikva,,,
5753,השאיר,left (m.s.),hish'ir,,,
5754,בשלטון,in power,bashilton,,,
5755,בשלטון,under the rule of,beshilton,,,
5756,הדרומיים,the southern (m.pl.),hadromiyim,,,
5757,במתקפה,in/under an attack,bemitkafa,,,
5758,במתקפה,in/under the attack,bamitkafa,,,
5759,יומיים,two days,yomayim,,,
5760,לצפון,to the north,latsafon,,,
5761,לצפון,to the north of,litsfon,,,
5762,שלמות,perfection / integrity,shlemut,,,
5763,שאנשי,that the people of,she'anshei,,,
5764,הפרשים,differences,hefreshim,,,
5765,הפרשים,the riders (horse) / the cavaliers,haparashim,,,
5766,הכלכלה,the economy,hakalkala,,,
5767,ההוצאה,the removal / the expense / the edition / the publishing house,hahotsa'a,,,
5768,בשורת,news of,besorat,,,
5769,בשורת,in the line of,beshurat,,,
5770,למלחמת,to the war of,lemilkhemet,,,
5771,אזרחית,citizen / civil (f.s.),ezrakhit,,,
5772,הורשו,were allowed [to],hurshu,,,
5773,החיצונית,the external / the outer (f.s.),hakhitsonit,,,
5774,הצו,the order,hatsav,,,
5775,מדיני,political (m.s.),medini,,,
5776,לפעולה,for action / for operation,lif'ula,,,
5777,לפעולה,to/for the action / to/for the operation,lape'ula,,,
5778,לבסס,to establish / to base,levases,,,
5779,ואלו,and these,ve'elu,,,
5780,המנהיג,the leader,hamanhig,,,
5781,גשרים,bridges,gsharim,,,
5782,מאלו,from these,me'elu,,,
5783,לתפוס,to catch / to capture / to grasp / to seize / to perceive,litpos,,,
5784,לשחרור,to/for the liberation / to/for the release,lashikhrur,,,
5785,תוקף,attacks / attacker (m.s.),tokef,,,
5786,תוקף,validity,tokef,,,
5787,פנימי,internal (m.s.),pnimi,,,
5788,חרף,despite,kheref,,,
5789,כמפקד,as a commander / as the commander of,kimfaked,,,
5790,הוצא,was spent / was taken out / was removed (m.s.),hutsa,,,
5791,הכלכלית,the economic (f.s.),hakalkalit,,,
5792,הצפוניים,the northern (m.pl.),hatsfoniyim,,,
5793,הסחר,the trade,hasakhar,,,
5794,בל,not / do not,bal,,,
5795,נוחה,comfortable (f.s.),nokha,,,
5796,נוצרי,Christian (m.s.),notsri,,,
5797,נקט,took (action / step) (m.s.),nakat,,,
5798,ממספר,numbers (v.) (m.s.) / numerator,memasper,,,
5799,ממספר,from the number / from a number,mimispar,,,
5800,מעיד,testifies,me'id,,,
5801,להתאים,to fit / to match / to suit,lehat'im,,,
5802,תומכים,supporters,tomkhim,,,
5803,וביניהם,and between them,uveynehem,,,
5804,חריפה,hot / severe (f.s.),kharifa,,,
5805,היבשת,the continent,hayabeshet,,,
5806,דגש,stress / emphasis,dagesh,,,
5807,באורך,at a length of,be'orekh,,,
5808,נוספו,were added,nosfu,,,
5809,נטייה,inclination / tendency / tilt,netiya,,,
5810,מחתרת,underground,makhteret,,,
5811,לביקורת,to/for criticism / to/for inspection,lebikoret,,,
5812,לביקורת,to/for the criticism / to/for the inspection,labikoret,,,
5813,תערובת,mix,ta'arovet,,,
5814,שרף,burned (m.s.) / resin / angel,saraf,,,
5815,אמירה,saying (n.),amira,,,
5816,אלמוגי,the corals of,almogei,,,
5817,המבוססת,that is based / the well established / the well based (f.s.),hamevuseset,,,
5818,המסחרי,the commercial,hamiskhari,,,
5819,היישובים,the settlements,hayeshuvim,,,
5820,הלהב,the blade,halahav,,,
5821,הוצגה,was introduced / was displayed / was presented / was exhibited (f.s.),hutsga,,,
5822,הקרובה,the close / the relative (f.s.),hakrova,,,
5823,הענקים,the giant (adj.) / the giants (n.) / the necklaces,ha'anakim,,,
5824,האומה,the nation,ha'uma,,,
5825,הכוונה,the intention / the meaning,hakavana,,,
5826,הכוונה,guidance / direction,hakhvana,,,
5827,ההנהגה,the leadership,hahanhaga,,,
5828,הבסיסית,the basic (f.s.),habsisit,,,
5829,הנהלת,the management of,hanhalat,,,
5830,באסלאם,in the Islam,ba'islam,,,
5831,בנפרד,separately,benifrad,,,
5832,קלעי,marksman,kala'i,,,
5833,ההבלגה,the restraint,hahavlaga,,,
5834,אחוזת,mansion of / estate of / possessed by / stricken by (f.s.),akhuzat,,,
5835,קרבית,combat (adj.) (f.s.),kravit,,,
5836,לאומית,national (f.s.),le'umit,,,
5837,תיבות,boxes / cases / arks,teyvot,,,
5838,תלמידי,students of,talmidei,,,
5839,עדות,evidence / testimony,edut,,,
5840,שאותם,whom / that the same (m.pl.),she'otam,,,
5841,שאחד,that one,she'ekhad,,,
5842,אחוזי,percentage of / possessed by / stricken by (m.pl.),akhuzei,,,
5843,הייחודי,the unique,ha'ykhudi,,,
5844,מוצגים,are introduced / are displayed / are presented / are exhibited / exhibits (m.pl.),mutsagim,,,
5845,לחזות,to watch / to predict,lakhazot,,,
5846,המנוע,the engine,hamano'a,,,
5847,הוויכוח,the argument / the dispute,haviku'akh,,,
5848,הקיים,that exists (m.s.),hakayam,,,
5849,מורכבות,complexity,murkavut,,,
5850,מורכבות,complex / composed of (f.pl.),murkavot,,,
5851,תסיסה,fermentation / unrest,tsisa,,,
5852,קשריו,his/its ties / his/its bonds / his/its links / his/its connections,ksharav,,,
5853,עולמי,my world / global / universal (m.s.),olami,,,
5854,אלוהי,the god of,elohei,,,
5855,אלוהי,my god,elohai,,,
5856,הצופה,the scout / the ranger / the observer / the spectator / that/who observes / that/who watches (m.s.),hatsofe,,,
5857,הצופה,the scout / the ranger / the observer / the spectator / that/who observes / that/who watches (f.s.),hatsofa,,,
5858,הקלפי,the poll / the polling booth,hakalpi,,,
5859,ביוגרפיה,biography,biyografya,,,
5860,סימון,marking,simun,,,
5861,למחקר,for research / for a study,lemekhkar,,,
5862,למחקר,for the research / for the study,lamekhkar,,,
5863,תמונת,picture of,tmunat,,,
5864,צולם,was photographed,tsulam,,,
5865,אופקים,horizons / knowledge,ofakim,,,
5866,ההגייה,the pronunciation,hahagiya,,,
5867,נמרוד,we will rebel,nimrod,,,
5868,להקת,band of,lahakat,,,
5869,לביקורות,to/for criticism / to/for inspections,lebikorot,,,
5870,לביקורות,to/for the criticism / to/for the inspections,labikorot,,,
5871,מתמטית,mathematical (f.s.),matematit,,,
5872,חיוביות,positive (f.pl.),khiyuviyot,,,
5873,אקולוגיה,ecology,ha'ekologya,,,
5874,בסיבוב,in a rotation / in a revolution,besivuv,,,
5875,בסיבוב,in the rotation / in the revolution,basivuv,,,
5876,השאול,the borrowed,hasha'ul,,,
5877,השאול,hell,hash'ol,,,
5878,הסיוף,the fencing,hasiyuf,,,
5879,גדילה,growth,gdila,,,
5880,הנפוצים,the common (m.pl.),hanefotsim,,,
5881,הפחמן,the carbon,hapakhman,,,
5882,קרחונים,icebergs,karkhonim,,,
5883,ממך,from you (m.s.),mimkha,,,
5884,ממך,from you (f.s.),mimekh,,,
5885,מודה,thanks / confesses (m.s.),mode,,,
5886,מודה,thanks / confesses (f.s.),moda,,,
5887,עשיתי,I did,asiti,,,
5888,שכב,lay down (m.s.),shakhav,,,
5889,ההשגחה,the supervision / Providence,hahashgakha,,,
5890,המעצר,the arrest,hama'atsar,,,
5891,למראה,at a sight / at the sight of,lemar'e,,,
5892,למראה,at/to the sight,lamar'e,,,
5893,למראה,to a mirror / at her sight,lemar'a,,,
5894,למראה,to the mirror,lamar'a,,,
5895,ליער,to a forest,leya'ar,,,
5896,ליער,to the forest,laya'ar,,,
5897,שאי,that an island / that is not,she'i,,,
5898,מהו,what is,mahu,,,
5899,לדאוג,to worry,lid'og,,,
5900,ובכלל,and in general,uvikhlal,,,
5901,הנפט,the kerosene / the oil,haneft,,,
5902,מעניין,interesting,me'anyen,,,
5903,מענה,answer / reply,ma'ane,,,
5904,מענה,tortures / torments (m.s.),me'ane,,,
5905,להניע,to move,lehani'a,,,
5906,שאלו,asked / borrowed (pl.),sha'alu,,,
5907,אוהב,loves (m.s.),ohev,,,
5908,המועד,the time / the holiday,hamo'ed,,,
5909,המועד,that is prone to (m.s.),hamu'ad,,,
5910,בבכי,tearfully,bivkhi,,,
5911,מלוא,fullness / to a full / full,melo,,,
5912,מתושבי,from the residents of,mitoshvei,,,
5913,לחדר,to the room,lakheder,,,
5914,להפסקת,to/for the break of / to/for the intermission of,lehafsakat,,,
5915,ודרך,and through / and via / and way / and road,vederekh,,,
5916,ודרך,and stepped [on] (m.s.),vedarakh,,,
5917,אמון,trust,emun,,,
5918,אמון,training / practice,imun,,,
5919,זר,foreign / stranger,zar,,,
5920,חצות,midnight,khatsot,,,
5921,החזיר,returned / gave back,hekhzir,,,
5922,הגוזלים,the nestlings,hagozalim,,,
5923,הגוזלים,that are robbing,hagozlim,,,
5924,הניח,assumed / placed (m.s.),heni'akh,,,
5925,גב,back,gav,,,
5926,צומחים,grow (m.pl.),tsomkhim,,,
5927,סר,moved away / dropped in / was removed / sullen (m.s.),sar,,,
5928,נוהג,drives / uses to (m.s.),noheg,,,
5929,נוהג,custom,nohag,,,
5930,מלאכה,work / craft,melakha,,,
5931,משל,of / belongs to,mishel,,,
5932,משל,proverb / allegory / example,mashal,,,
5933,משאר,from the rest,mish'ar,,,
5934,מקורו,its source / his/its origin (m.s.),mekoro,,,
5935,מקורו,its beak,makoro,,,
5936,מאמרים,articles,ma'amarim,,,
5937,ישנו,there is (m.s.),yeshno,,,
5938,וראה,and saw (m.s.),vera'a,,,
5939,שד,devil,shed,,,
5940,שד,breast,shad,,,
5941,פרשה,affair / chapter / portion,parasha,,,
5942,פרשה,retired (f.s.),parsha,,,
5943,אוטומטי,automatic,otomati,,,
5944,חשובות,important (f.pl.),khashuvot,,,
5945,חריף,hot / severe (m.s.),kharif,,,
5946,התרשם,was impressed / got the impression,hitrashem,,,
5947,ההפרדה,the separation,hahafrada,,,
5948,הרעיונות,the ideas,hara'ayonot,,,
5949,הצמח,the plant,hatsemakh,,,
5950,גישור,bridging,gishur,,,
5951,במוח,in a brain,bemo'akh,,,
5952,במוח,in the brain,bamo'akh,,,
5953,ביקורות,criticism / inspections,bikorot,,,
5954,בלוח,on a board,belu'akh,,,
5955,בלוח,on the board,balu'akh,,,
5956,בכדור,with a ball / in a pill,bekadur,,,
5957,בכדור,with the ball / in the pill,bakadur,,,
5958,רופא,physician,rofe,,,
5959,צפויה,expected / anticipated (f.s.),tsfuya,,,
5960,סחורות,goods / merchandise,skhorot,,,
5961,מוביל,leader / transporter / currier (m.s.),movil,,,
5962,מוצלחת,successful (m.s.),mutslakhat,,,
5963,משקה,drink,mashke,,,
5964,יגאל,will redeem (m.s.),yig'al,,,
5965,למדינות,to states,limdinot,,,
5966,למדינות,to the states,lamedinot,,,
5967,לשתף,to share / to let join / to let participate,leshatef,,,
5968,לפועל,to/for the worker,lapo'el,,,
5969,לפועל,into action,lafo'al,,,
5970,לעומתם,compared with them / against them / opposite them (m.),le'umatam,,,
5971,לכוח,to power / to force / to strength,leko'akh,,,
5972,לכוח,to the power / to the force / to the strength,lako'akh,,,
5973,להצטרף,to join,lehitstaref,,,
5974,לדיון,for discussion,lediyun,,,
5975,לדיון,to/for the discussion,ladiyun,,,
5976,ויכוח,argument / dispute,viku'akh,,,
5977,ועליו,and on him/it / and about him/it,ve'alav,,,
5978,שלמים,whole / complete (m.pl.),shlemim,,,
5979,שהתקיימה,that was held / that existed / that survived (f.s.),shehitkayma,,,
5980,שרידים,remnants / survivors,sridim,,,
5981,שנשא,that/who carried / who married (m.s.),shenasa,,,
5982,עזבו,left (pl.),azvu,,,
5983,עבדים,slaves,avadim,,,
5984,איתן,with them (f.),itan,,,
5985,אחריהם,after them (m.),akharehem,,,
5986,אבות,fathers / ancestors / Avot,avot,,,
5987,כוכבי,stars of,kokhvei,,,
5988,כשהיה,when there was,keshehaya,,,
5989,התמונה,the picture / the photo,hatmuna,,,
5990,התייחסו,treated / referred to / applied (pl.),hityakhasu,,,
5991,הושלמה,was completed (f.s.),hushlema,,,
5992,השופטים,the judges,hashoftim,,,
5993,הפיק,produced,hefik,,,
5994,הערכות,assessments / estimations / appreciations / credits,ha'arakhot,,,
5995,האזרחית,the citizen / the civil (f.s.),ha'ezrakhit,,,
5996,הכוללים,that include (m.pl.),hakolelim,,,
5997,הבניה,the building (n.),habniya,,,
5998,גנים,gardens / kindergartens,ganim,,,
5999,גנים,genes,genim,,,
6000,במכתב,in a letter,bemikhtav,,,
6001,במכתב,in the letter,bamikhtav,,,
6002,באוניברסיטה,at/in the university,ba'universita,,,
6003,באוניברסיטה,at/in a university,be'universita,,,
6004,בגודלה,[in her] size,begodla,,,
6005,צורתו,its shape / its form,tsurato,,,
6006,נמנה,is included [in] / was counted (m.s.),nimna,,,
6007,נכנע,surrendered (m.s.),nikhna,,,
6008,המחלוקת,the dispute,hamakhloket,,,
6009,העקורים,the uprooted / the displaced (m.pl.),ha'akurim,,,
6010,העימות,the conflict,ha'imut,,,
6011,הנגד,the opposition,haneged,,,
6012,הנגד,the resistor / the non commissioned officer,hanagad,,,
6013,לוחמת,warrior (f.s.),lokhemet,,,
6014,חציית,crossing of,khatsiyat,,,
6015,המאמץ,the effort,hama'amats,,,
6016,השושלת,the dynasty,hashoshelet,,,
6017,החודשים,the months,hakhodashim,,,
6018,משמעותיים,significant (m.pl.),mashma'utiyim,,,
6019,לוחמה,warfare,lokhama,,,
6020,תקפו,attacked (pl.),takfu,,,
6021,קרויה,is called (f.s.),kruya,,,
6022,מכרעת,decisive / crucial (f.s.),makhra'at,,,
6023,למחנה,to/for a camp / to/for a group,lemakhane,,,
6024,למחנה,to/for the camp / to/for the group,lamakhane,,,
6025,לביצוע,to the performance of / to the execution of / to be performed,lebitsu'a,,,
6026,ונשים,and women,ve'nashim,,,
6027,שיט,cruise,shayit,,,
6028,שהוציא,that took out / that removed / that spent / that published (m.s.),shehotsi,,,
6029,הזדמנות,opportunity,hizdamnut,,,
6030,גורלו,his fate,goralo,,,
6031,גברה,overcame / defeated (f.s.),gavra,,,
6032,בשפת,in the language of / on the edge of,bisfat,,,
6033,בפגישה,at/in a meeting,bepgisha,,,
6034,בפגישה,at/in the meeting,bapgisha,,,
6035,ניכרים,obvious / evident (m.pl.),nikarim,,,
6036,משפטית,judicial / statutory / forensic,mishpatit,,,
6037,מקביל,parallel (m.s.),makbil,,,
6038,למניעת,for the prevention of,lemeni'at,,,
6039,חמוש,armed (m.s.),khamush,,,
6040,ארגונים,organizations,irgunim,,,
6041,כוונה,intention / meaning,kavana,,,
6042,המזכירים,that remind (m.pl.) / the secretaries (m.),hamazkirim,,,
6043,ההמונים,the crowd / the many,hahamonim,,,
6044,הגיב,responded,hegiv,,,
6045,הגרעין,the grain / the nucleus,hagar'in,,,
6046,דורש,demands / requires (m.s.),doresh,,,
6047,גדות,banks / shores,gadot,,,
6048,ניצחונו,we won,nitskhunu,,,
6049,משולש,triangle,meshulash,,,
6050,תיקון,correction / repair,tikun,,,
6051,פופולרי,popular (m.s.),populari,,,
6052,עז,goat,ez,,,
6053,חוקיות,legal (f.pl.),khukiyot,,,
6054,חודשי,monthly,khodshi,,,
6055,חודשי,the months of,khodshei,,,
6056,כאמצעי,as means,ke'emtsa'i,,,
6057,כאמצעי,as means of,ke'emtsa'ei,,,
6058,כבסיס,as a basis,kevasis,,,
6059,כבסיס,as the basis,kabasis,,,
6060,הלימודים,the studies,halimudim,,,
6061,הפעלת,operation of / activation of,haf'alat,,,
6062,האפיפיור,the Pope,ha'apifyor,,,
6063,הרווחת,you earned / you gained (m.s.),hirvakhta,,,
6064,הרווחת,you earned / you gained (f.s.),hirvakht,,,
6065,בהכרח,necessarily,behekhrakh,,,
6066,בנשים,among the women,banashim,,,
6067,בנשים,among women,benashim,,,
6068,טכנולוגיות,technologies,tekhnologyot,,,
6069,ממקור,from a source / from an origin,mimakor,,,
6070,מתמטיים,mathematical (m.pl.),matematiyim,,,
6071,מתרחש,happening (m.s.),mitrakhesh,,,
6072,מועמד,applicant / candidate / nominee (m.s.),mu'amad,,,
6073,משורר,poet,meshorer,,,
6074,מעשית,practical (f.s.),ma'asit,,,
6075,מערבי,western (m.s.),ma'aravi,,,
6076,מזרחי,eastern (m.s.),mizrakhi,,,
6077,מדרגת,stair of,madregat,,,
6078,מדרגת,from a degree of / from a level of / from a rank of,midargat,,,
6079,מרכזית,central (f.s.),merkazit,,,
6080,למזרח,to the east,lamizrakh,,,
6081,לשימור,for conservation,leshimur,,,
6082,לשתות,to drink,lishtot,,,
6083,לקבוצות,to/for groups,lekvutsot,,,
6084,לקבוצות,to/for the groups,lakvutsot,,,
6085,לערך,approximately / around / roughly / to a value,le'erekh,,,
6086,לדמוקרטיה,to/for a democracy,ledemokratya,,,
6087,לדמוקרטיה,to/for democracy,lademokratya,,,
6088,ונחשב,and is considered,venekhshav,,,
6089,ונחשב,and we will calculate,venekhashev,,,
6090,שטרות,bills,shtarot,,,
6091,שנבנו,that were built,shenivnu,,,
6092,קשור,tied / linked / connected (m.s.),kashur,,,
6093,קדוש,holy,kadosh,,,
6094,פולחן,rite / ritual / sacramental,pulkhan,,,
6095,כינוי,nickname,kinui,,,
6096,כריתת,cutting down of / amputation of,kritat,,,
6097,המרחב,the space,hamerkhav,,,
6098,התרבותי,the civilized / the cultural / the cultivated,hatarbuti,,,
6099,השוואה,comparison,hashva'a,,,
6100,השגרירות,the embassy,hashagrirut,,,
6101,הפופולריות,the popularity,hapopulariyut,,,
6102,הפופולריות,the popular (f.pl.),hapopulariyot,,,
6103,הזיכרון,the memory,hazikaron,,,
6104,הצומח,that grows / the flora,hatsome'akh,,,
6105,במרבית,in most of,bemarbit,,,
6106,בורות,holes / pits,borot,,,
6107,בורות,ignorance,burut,,,
6108,בשירות,in the service,basherut,,,
6109,בשירות,in a service / in/at the service of,besherut,,,
6110,בעיית,the problem of,be'ayat,,,
6111,רישומים,records / sketches,rishumim,,,
6112,נפרדים,separated / individual (m.pl.),nifradim,,,
6113,ביהודי,among the Jews of,beyehudei,,,
6114,לנחל,to a stream,lenakhal,,,
6115,לנחל,to the stream,lanakhal,,,
6116,סמלים,symbols,smalim,,,
6117,סמלים,sergeants,samalim,,,
6118,עיתון,newspaper,iton,,,
6119,ראייה,sight / eye sight / vision / seeing,re'iya,,,
6120,המסמך,the document,hamismakh,,,
6121,תלמידים,students,talmidim,,,
6122,רכישת,acquisition of / purchase of,rekhishat,,,
6123,הבאר,the well,ha'be'er,,,
6124,בשנותיו,in/at his years,bishnotav,,,
6125,וכיצד,and how,vekeytsad,,,
6126,שיקום,rehabilitation / reconstruction,shikum,,,
6127,זנב,tail,zanav,,,
6128,מסלולים,courses / paths / tracks,maslulim,,,
6129,ושיטות,and methods,veshitot,,,
6130,פרישתו,his retirement,prishato,,,
6131,אימוני,training of / practice of,imunei,,,
6132,חילוף,change / exchange,khiluf,,,
6133,כמעין,like,keme'ein,,,
6134,היין,the wine,hayayin,,,
6135,הושפע,was influenced / was affected,hushpa,,,
6136,הצופים,the scouts / the rangers / the observers / the spectators / that/who observe / that/who watch (m.pl.),hatsofim,,,
6137,נולדה,was born (f.s.),nolda,,,
6138,נחש,snake,nakhash,,,
6139,העבודות,the works / the jobs,ha'avodot,,,
6140,פילוסופים,philosophers,filosofim,,,
6141,ביכולתו,he is able [to] / within his power,biykholto,,,
6142,אבולוציה,evolution,evolutsia,,,
6143,השייכות,the relevance / the relation / the ownership,hashayakhut,,,
6144,השייכות,that/who belong (f.pl.),hashayakhot,,,
6145,בילה,had fun / spent time (m.s.),bila,,,
6146,בתערוכה,in a show / in an exhibition,beta'arukha,,,
6147,בתערוכה,in the show / in the exhibition,bata'arukha,,,
6148,המכירות,the sales,hamekhirot,,,
6149,מתמטי,mathematical (m.s.),matemati,,,
6150,הרפואה,the medicine,harefu'a,,,
6151,פסלי,statues of / sculptures of,pislei,,,
6152,מינית,sexual / sexually / you appointed (f.s.),minit,,,
6153,מינית,you appointed (m.s.),minita,,,
6154,בסרטן,[in] a crab / [in] cancer,besartan,,,
6155,בסרטן,[in] the crab / [in] the cancer,basartan,,,
6156,לאלים,to/for the gods,la'elim,,,
6157,לאלים,to/for gods,le'elim,,,
6158,לאלים,to/for the violent,la'alim,,,
6159,לאלים,to/for a violent,le'alim,,,
6160,המדידה,the measurement / the measuring,hamedida,,,
6161,הביולוגי,the biological,habiyologi,,,
6162,רקמות,tissues,rekamot,,,
6163,רקמות,embroideries,rikmot,,,
6164,הגנטי,the genetic (m.s.),hageneti,,,
6165,חרקים,insects,kharakim,,,
6166,הארוחה,the meal,ha'arukha,,,
6167,הבישול,the cooking,habishul,,,
6168,מחשבות,thoughts,makhshavot,,,
6169,ואמנם,and indeed,ve'omnam,,,
6170,ואביט,and I will look,ve'abit,,,
6171,קיבה,stomach,keyva,,,
6172,עף,flew (m.s.),af,,,
6173,עט,pen,et,,,
6174,עט,swooped down,at,,,
6175,אתכם,with you (m.pl.),itkhem,,,
6176,אתכם,you (m.pl.),etkhem,,,
6177,המלוה,the escort,hamlave,,,
6178,המלוה,the creditor,hamalve,,,
6179,המחרת,the next day,hamokhorat,,,
6180,העופרת,the lead,ha'oferet,,,
6181,החלותי,I started,hakhiloti,,,
6182,ביציע,in a gallery / in a wing,beyatsi'a,,,
6183,ביציע,in the gallery / in the wing,bayatsi'a,,,
6184,רטן,grumbled / complained (m.s.),ratan,,,
6185,צחקו,laughed (pl.),tsakhaku,,,
6186,צרצר,cricket,tsratsar,,,
6187,במחשבות,in thoughts,bemakhshavot,,,
6188,במחשבות,in the thoughts,bamakhshavot,,,
6189,בחוץ,outside,bakhuts,,,
6190,רגעים,moments,rega'im,,,
6191,מצבי,my state / my situation,matsavi,,,
6192,קרבי,combat (adj.) (m.s.),kravi,,,
6193,כדאי,worthwhile,kedai,,,
6194,כדאי,it is worthwhile,keda'i,,,
6195,הכרטיסים,the tickets,hakartisim,,,
6196,יכולתי,my ability / my capability,yekholti,,,
6197,יכולתי,I could,yakholti,,,
6198,עמל,work / suffering / worked hard,amal,,,
6199,עמל,worker / works hard,amel,,,
6200,אמי,my mother,imi,,,
6201,חשבו,thought (pl.),khashvu,,,
6202,מכירים,know / recognize (m.pl.),mekirim,,,
6203,פרסומת,advertisement / commercials,pirsomet,,,
6204,השניה,the second / the other,hashniya,,,
6205,הדלתות,the doors,hadlatot,,,
6206,גופי,my body,gufi,,,
6207,גור,cub / puppy,gur,,,
6208,ברעב,in hunger,bera'av,,,
6209,מלמעלה,from above,milemala,,,
6210,מזמן,long time ago,mizman,,,
6211,מאליו,by itself,me'elav,,,
6212,הביצה,the egg,habeytsa,,,
6213,הביצה,the swamp,habitsa,,,
6214,באין,without,be'ein,,,
6215,משלי,of mine,misheli,,,
6216,משלי,proverbs of / Book of proverbs,mishlei,,,
6217,מחירי,prices of,mekhirei,,,
6218,מאלה,from these,me'ele,,,
6219,מכוסה,covered (m.s.),mekhuse,,,
6220,לענות,to answer,la'anot,,,
6221,לענות,to torture / to torment,le'anot,,,
6222,לביתו,to/for his home,leveito,,,
6223,לסיים,to finish,lesayem,,,
6224,הקרובים,the close / the relatives (m.pl.),hakrovim,,,
6225,ההשקעה,the investment,hahashka'a,,,
6226,מכירת,sale of,mekhirat,,,
6227,מסייע,assists / helps (m.s.),mesaye'a,,,
6228,מסביר,explains (m.s.),masbir,,,
6229,תכופות,frequently,tkhufot,,,
6230,שבכל,that in all,shebekhol,,,
6231,חשד,suspected (m.s.) / suspicion,khashad,,,
6232,המאכלים,the food / the dishes,ha'ma'akhalim,,,
6233,העולה,the rising / the climbing / the immigrant (m.s.),ha'ole,,,
6234,העולה,the rising / the climbing / the immigrant (f.s.),ha'ola,,,
6235,ממוגן,protected / shielded (m.s.),memugan,,,
6236,מסך,screen / display / curtain,masakh,,,
6237,יק,yak,yak,,,
6238,ידו,his hand,yado,,,
6239,לפרלמנט,to/for a parliament,leparlament,,,
6240,לפרלמנט,to/for the parliament,laparlament,,,
6241,לרוח,to the wind / to/for the spirit,laru'akh,,,
6242,לרוח,to a wind / to/for a spirit,leru'akh,,,
6243,תחושה,feeling / sensation,tkhusha,,,
6244,שכבה,lay down (f.s.),shakhva,,,
6245,שכבה,layer,shikhva,,,
6246,שבתוך,that is inside,shebetokh,,,
6247,עמדתו,his position,emdato,,,
6248,עשיר,rich (m.s.),ashir,,,
6249,אגדה,fairy tale / legend,agada,,,
6250,המלאכה,the work / the craft,hamelakha,,,
6251,המוצא,the way out / the origin,hamotsa,,,
6252,השלבים,the stages / the phases / the rungs,hashlabim,,,
6253,הרוחות,the winds,harukhot,,,
6254,הרבנים,the rabbis,harabanim,,,
6255,במגרש,in a field / in a yard,bemigrash,,,
6256,במגרש,in the field / in the yard,bamigrash,,,
6257,בתוקף,valid / firmly / assertively,betokef,,,
6258,בשער,at the gate,basha'ar,,,
6259,בשער,at the gate of,besha'ar,,,
